source_file/page,source_line,link_text_or_identifier,target_url/path,link_type,status,issue_description,recommended_fix
deepseek-harness/apps/web/index.html,6,link,/manifest.webmanifest,internal,broken,Broken relative/internal path,Create target file or update href/src to an existing path.
deepseek-harness/apps/web/index.html,7,link,/favicon.svg,asset,broken,Broken relative/internal path,Create target file or update href/src to an existing path.
deepseek-harness/apps/web/index.html,12,script,/src/main.ts,asset,broken,Broken relative/internal path,Create target file or update href/src to an existing path.
pixel-stretch-app/index.html,5,link,icon-192.png,asset,broken,Broken relative/internal path,Create target file or update href/src to an existing path.
pixel-stretch-app/index.html,6,link,apple-touch-icon.png,asset,broken,Broken relative/internal path,Create target file or update href/src to an existing path.
book-writer/index.html,10,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/UNO.html,7,script,https://unpkg.com/peerjs@1.5.2/dist/peerjs.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/airhockey.html,12,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/airhockey.html,14,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
games/animal_crossing.html,614,script,https://cdnjs.cloudflare.com/ajax/libs/three.js/0.160.0/three.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/aviator.html,8,link,https://fonts.googleapis.com/css2?family=Inter:wght@400;600;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/backgammon.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/battlelands_royale.html,13,script,https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/blackjack.html,8,link,https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/briscola.html,7,script,https://unpkg.com/peerjs@1.5.2/dist/peerjs.min.js,external,suspicious,External URL not checked,Validate external target availability.
games/card-games/public/index.html,8,link,"data:image/svg+xml,<svg xmlns=%22http://www.w3.org/2000/svg%22 viewBox=%220 0 100 100%22><text y=%22.9em%22 font-size=%2290%22>🃏</text></svg>",external,suspicious,External URL not checked,Validate external target availability.
games/chess.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/clash_royale.html,8,link,https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css,external,suspicious,External URL not checked,Validate external target availability.
games/coloring_book.html,7,link,https://fonts.googleapis.com/css2?family=Inter:wght@300;400;600;700;800&display=swap,external,suspicious,External URL not checked,Validate external target availability.
games/coop-game.html,1,ORPHAN_PAGE,games/coop-game.html,internal,suspicious,Page has no incoming internal links,"Link this page from navigation or another indexable page, or remove it."
games/coop-game.html,28,"div #sub>A cooperative chronicle of a semi-legal biotech farmhouse</div>
  <button id=",coop-game/index.html,internal,suspicious,Non-crawlable fake link on non-anchor element,"Use <a href=""...""> for navigation; keep JS event only as enhancement."
